tid,vet75x80,citizen,gq,speakeng,sex,steppop,subfam,cbsftype,vet55x64,marst,vetstat,migpuma,statefip,vetother,occ1990,CONDITION
17667,1,9,9,0,0,1,0,0,0,0,8,157,0,0,0,
17668,1,9,9,0,0,1,0,0,0,0,8,157,0,0,0,
17669,1,9,9,0,0,1,0,0,0,0,8,157,0,0,0,
17670,1,9,9,0,0,1,0,0,0,0,8,158,0,0,0,
17671,1,9,9,0,0,1,0,0,0,0,8,158,0,0,0,
17672,1,9,9,0,0,1,0,0,0,0,8,158,0,0,0,
17673,1,9,9,0,0,1,0,0,0,0,8,158,0,0,0,
17674,1,9,9,0,0,1,0,0,0,0,8,159,0,0,0,
17675,1,9,9,0,0,1,0,0,0,0,8,160,0,0,0,
17676,1,9,9,0,0,1,0,0,0,0,8,160,0,0,0,
17677,1,9,9,0,0,1,0,0,0,0,8,162,0,0,0,
17678,1,9,9,0,0,1,0,0,0,0,8,162,0,0,0,
17679,1,9,9,0,0,1,0,0,0,0,8,162,0,0,0,
17680,1,9,9,0,0,1,0,0,0,0,8,162,0,0,0,
17681,1,9,9,0,0,1,0,0,0,0,8,163,0,0,0,
17682,1,9,9,0,0,1,0,0,0,0,8,163,0,0,0,
17683,1,9,9,0,0,1,0,0,0,0,8,163,0,0,0,
17684,1,9,9,0,0,1,0,0,0,0,8,163,0,0,0,
17685,1,9,9,0,0,1,0,0,0,0,8,164,0,0,0,
17686,1,9,9,0,0,1,0,0,0,0,8,164,0,0,0,
17687,1,9,9,0,0,1,0,0,0,0,8,164,0,0,0,
17688,1,9,9,0,0,1,0,0,0,0,8,164,0,0,0,
17689,1,9,9,0,0,1,0,0,0,0,8,164,0,0,0,
17690,1,9,9,0,0,1,0,0,0,0,8,164,0,0,0,
17691,1,9,9,0,0,1,0,0,0,0,8,164,0,0,0,
